,Value
0,Donate Now
1,Home
2,Search fact-checks
3,Support Alt News
4,Most Read
5,Sci-Check
6,Latest Videos
7,Follow Alt News
8,Recent Posts
9,"News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda"
10,Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022
11,"Farmers’ protest: Fortified tractor video is from Turkey, shared falsely"
12,"To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again"
13,Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X
14,Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’
15,Old video of BJP corporator thrashing a cop shared with misleading narrative
16,Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore
17,Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India
18,Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake
19,Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X
20,"Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it"
21,Misleading video claiming dry ginger can cure Omicron is scientifically baseless
22,"Magical stone melting metal nails? No, the nails are made of gallium"
23,Fake chart shows COVID-19 variant “timeline” predicting release dates
24,Haldwani violence: False claims about spike in Muslim population viral
25,Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims
26,Follow us:
27,Follow us:
28,Facebook
29,Twitter
30,Instagram
31,YouTube
32,RSS
33,More
34,Alt News
35,Home
36,DONATE
37,ऑल्ट न्यूज़ हिंदी वेबसाइट
38,About
39,Editorial Policy
40,Alt News Policy on Hate Speech
41,Methodology for fact checking
42,Sourcing of information
43,Privacy Policy
44,Transparency of funding
45,Editorial Team
46,Directors
47,Correction policy
48,Contact
49,Subscribe via Email
50,More
51,Search for:
52,Menu
53,Alt News
54,
55,
56,
57,Search
58,Search for:
59,
60,Media analysisPolitics
61,Media analysis
62,Politics
63,20th February 202420th February 2024
64,Abhishek Kumar
65,
66,Politics
67,Politics
68,16th February 2024
69,Oishani Bhattacharya
70,
71,Politics
72,Politics
73,16th February 2024
74,Shinjinee Majumder
75,
76,Politics
77,Politics
78,13th February 202413th February 2024
79,Oishani Bhattacharya
80,
81,Politics
82,Politics
83,9th February 202413th February 2024
84,Shinjinee Majumder
85,
86,Politics
87,Politics
88,5th February 2024
89,"Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair"
90,Search fact-checks
91,Search for:
92,Support Alt News
93,Donate to Alt News!
94,Most Read
95,
96,Jignesh Patel
97,
98,Mohammed Zubair
99,
100,Kinjal
101,
102,Oishani Bhattacharya
103,
104,Shinjinee Majumder
105,Sci-Check
106,
107,Shinjinee Majumder
108,Archit
109,Kinjal
110,Archit
111,More
112,Latest Videos
113,
114,Follow Alt News
115,215K
116,
117,486K
118,
119,Recent Posts
120,
121,Politics
122,Politics
123,20th February 2024
124,by Abhishek Kumar
125,by Abhishek Kumar
126,
127,Politics
128,Politics
129,19th February 202419th February 2024
130,by Oishani Bhattacharya
131,by Oishani Bhattacharya
132,"  Skip to content       Follow us:FacebookTwitterInstagramYouTubeRSSMore            Alt News  Alternative News and Views in the Post-Truth World   Home DONATE ऑल्ट न्यूज़ हिंदी वेबसाइट About   Editorial Policy Alt News Policy on Hate Speech Methodology for fact checking Sourcing of information Privacy Policy Transparency of funding Editorial Team Directors Correction policy   Contact   Subscribe via Email   More      Search for:          Menu      Alt News  Alternative News and Views in the Post-Truth World      Search      Search for:                        Home                Media analysisPolitics   20th February 202420th February 2024  News channels run doctored video of farmer leader Dallewal’s statement on Modi, question movement’s agenda  Abhishek Kumar            Politics   16th February 2024  Farmers’ protest: Viral video of elderly lady’s outburst is from November 2022  Oishani Bhattacharya           Politics   16th February 2024  Farmers’ protest: Fortified tractor video is from Turkey, shared falsely  Shinjinee Majumder            Politics   13th February 202413th February 2024  To report or not to report: The ‘Ujjain thook kand’ exposed mainstream media’s anti-Muslim bias, yet again  Oishani Bhattacharya            Politics   9th February 202413th February 2024  Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder            Politics   5th February 2024  Alt News Investigation: Multiple handles run bogus fundraisers on X benefiting a certain ‘Sandeep Mandal’  Abhishek Kumar, Oishani Bhattacharya & Mohammed Zubair           Search fact-checks    Search for:         Support Alt News Donate to Alt News!Independent journalism that speaks truth to power and is free of corporate and political control is possible only when people start contributing towards the same. Please consider donating towards this endeavour to fight fake news and misinformation. Donate Now         Most Read            Old video of BJP corporator thrashing a cop shared with misleading narrative  Jignesh Patel    Twitter user Aakash Singh Chauhan (INC) @AakashS19706320 tweeted a video of a man thrashing a policeman. Chauhan claimed that the person in the clip is BJP MLA Anil Upadhyay. His...            Farmers’ protest 2024: Jeep seen in viral photo is NOT a Mercedes Benz worth Rs 3 crore  Mohammed Zubair            Morphed image viral as Vijay Mallya issued Rs 35 cr cheque to BJP before fleeing India  Kinjal            Fact check: Viral Manmohan Singh tweets praising Narendra Modi are fake  Oishani Bhattacharya            Squint Neon: A sordid saga of anti-Muslim hate & online harassment of interfaith couples on X  Shinjinee Majumder             Sci-Check           Ladder ‘walking’: It’s a phenomenon called passive dynamic walking, nothing paranormal about it  Shinjinee Majumder        Misleading video claiming dry ginger can cure Omicron is scientifically baseless  Archit      Magical stone melting metal nails? No, the nails are made of gallium  Kinjal      Fake chart shows COVID-19 variant “timeline” predicting release dates  Archit      More             Latest Videos      Follow Alt News 
    215K  486K           Recent Posts           Politics   20th February 2024  Haldwani violence: False claims about spike in Muslim population viral  by Abhishek Kumar            Politics   19th February 202419th February 2024  Bangladeshi Hindu girls converted to Islam out of free will; video viral with false claims  by Oishani Bhattacharya                                                 All the content on the Alt News website, except where otherwise noted, is licensed under the Creative Commons Attribution 3.0 Unported License.     

"
