,Value
0,"
Our only agenda is to publish the truth so you can be an informed participant in democracy.
We need your help.
"
1,"
More Info
"
2,"
Fact-checking journalism is the heart of PolitiFact. Our core principles are independence, transparency, fairness, thorough reporting and clear writing. The reason we publish is to give citizens the information they need to govern themselves in a democracy.
"
3,"
In a world of wild talk and fake news, help us stand up for the facts.
"
4,"

Sign me up

"
5,"

District of Columbia



1800 I Street NW

Washington, DC
20006
"
6,"

Florida


801 3rd St. S

St. Petersburg, FL
33701
727-821-9494
"
7,"
"
8,"
Latest Fact-checks
"
9,"
Latest Articles
"
10,"
Most Recent Promises
"
11,"
Editor's Picks
"
12,"
People
"
13,"
Fact-checking around the Web
"
14,"



Inside PolitiFact
"
15,"
Stand up for the facts!
"
16,"
I would like to contribute
"
17,"

Biden won’t be charged in classified documents case, but special counsel report questions his memory

"
18,"

U.S. Supreme Court hears arguments on removing Donald Trump from ballot. Here’s what to know

"
19,"

We want to be more transparent with you about our fact-checking. Here’s how

"
20,"

Sen. Chris Murphy said ‘the border never closes.’ What does that mean?

"
21,"

As Chinese immigration to U.S. rises, Republicans and Trump use ‘military age men’ scare tactic

"
22,"

Ask PolitiFact: What does the data show on deadly shootings by 18-to-20-year-olds?

"
23,"

Taylor Swift: Singer, songwriter, psyop? How conservative pundits spread a wild theory

"
24,"

What could a Taylor Swift endorsement mean for voter turnout in the 2024 election?

"
25,"

Ask PolitiFact: Can Joe Biden ‘shut down the border’ on his own?

"
26,"

Explaining Ron DeSantis’ effort to call a convention of states and amend the US Constitution

"
27,"

Joe Biden

"
28,"

Citizens for Sanity

"
29,"

Jeh Johnson

"
30,"

Francis Suarez

"
31,"

Donald Trump

"
32,"

Posts misrepresent the status of a bill that could disqualify Trump from the ballot in Hawaii

"
33,"

Trump says Jan. 6 was ‘an insurrection caused by Nancy Pelosi’

"
34,"

Vehicles contribute fewer emissions than gasoline-powered cars over their lifetimes

"
35,"

No evidence to link UK excess deaths to COVID-19 vaccines

"
36,"

Is gun violence really the leading cause of death for children?

"
37,"
Support independent fact-checking.
Become a member!
"
38,"
Follow us
"
39,"
Offices
"
40,"
People
"
41,"
State Editions
"
42,"
About Us
"
43,"
RSS Feeds
"
44,"
Follow us
"
45,"







The Poynter Institute


"
46,"



"
47,"

The Poynter Institute

"
48,"
The Poynter Institute
"
49,
50,Menu
51,•
52,•
53,•
54,•
55,•
56,"
1800 I Street NW
"
57,"Washington, DC"
58,20006
59,"
801 3rd St. S
"
60,"St. Petersburg, FL"
61,33701
62,727-821-9494
63,
